id,country,consumption_pork,co2_pork,consumption_poultry,co2_poultry,consumption_beef,co2_beef,consumption_lambgoat,co2_lambgoat,consumption_fish,co2_fish,consumption_eggs,co2_eggs,consumption_milkcheese,co2_milkcheese,consumption_wheat,co2_wheat,consumption_rice,co2_rice,consumption_soybeans,co2_soybeans,consumption_nuts,co2_nuts,GDP.PPP.2013,co2_meat,co2_nonmeat
107,South Africa,4.16,14.72,37.57,40.36,18.03,556.37,4.28,149.89,5.56,8.88,7.21,6.62,55.75,79.41,60.13,11.47,17.41,22.28,1.27,0.57,1.04,1.84,6832.45689,770.22,122.19
108,South Korea,32.76,115.95,16,17.19,14.53,448.37,0.14,4.9,33.09,52.83,11.24,10.33,29.05,41.38,50.84,9.7,85.18,109,8.35,3.76,4.88,8.64,25890.02,639.24,182.81
109,Spain,48.92,173.15,28.63,30.75,12.15,374.92,2.16,75.64,28.83,46.03,13.32,12.24,164.29,234.01,93.88,17.9,8.32,10.65,0.02,0.01,7.44,13.17,29059.548,700.49,287.98
110,Sri Lanka,0.05,0.18,4.96,5.33,1.38,42.58,0.09,3.15,24.92,39.79,4.57,4.2,34.98,49.83,37.01,7.06,109.72,140.41,0,0,1.09,1.93,3610.28936,91.03,203.43
111,Swaziland,2.43,8.6,6.18,6.64,15.1,465.95,1.94,67.94,1.26,2.01,1.5,1.38,56.6,80.62,37.15,7.08,21.15,27.07,0.55,0.25,6.44,11.4,4230.34,551.14,127.8
112,Sweden,37,130.96,16.64,17.87,24.58,758.49,1.41,49.38,23.86,38.1,13.37,12.28,341.23,486.05,79.59,15.18,5.96,7.63,0.13,0.06,6.23,11.03,60897.3656,994.8,532.23
113,Switzerland,31.49,111.46,16.38,17.6,21.26,656.04,1.42,49.73,13.48,21.52,10.53,9.67,318.69,453.94,89.51,17.07,2.43,3.11,0.44,0.2,9.27,16.41,85112.4696,856.35,500.4
114,Taiwan. ROC,39.37,139.35,32.13,34.51,5.21,160.77,0.92,32.22,18.29,29.2,13.08,12.02,41.72,59.43,50.92,9.71,45.85,58.67,16.95,7.63,9.06,16.04,46800,396.05,163.5
115,Tanzania,0.32,1.13,1.84,1.98,6.09,187.92,1.28,44.83,5.5,8.78,0.58,0.53,40.29,57.39,15.94,3.04,21.01,26.89,0.04,0.02,5.94,10.51,970.416938,244.64,98.38
116,Thailand,13,46.01,13.69,14.71,2.56,79,0.05,1.75,19.45,31.06,12.35,11.34,29.35,41.81,10.93,2.08,114.57,146.62,2.13,0.96,1.5,2.66,6168.2649,172.53,205.47
117,Togo,1.57,5.56,6.63,7.12,1.53,47.21,1.58,55.33,11.69,18.67,0.86,0.79,7.96,11.34,12.91,2.46,25.99,33.26,0.01,0,3.59,6.35,621.22226,133.89,54.2
118,Trinidad and Tobago,8.92,31.57,58.27,62.59,6.13,189.16,2.79,97.71,20.54,32.8,4.2,3.86,103.8,147.85,90.17,17.2,16.38,20.96,0.04,0.02,3.78,6.69,20143.6644,413.83,196.58
119,Tunisia,0,0,18.5,19.87,5.53,170.64,5.34,187.01,12.63,20.17,7.67,7.05,114.47,163.05,197.5,37.66,1.07,1.37,1.88,0.85,6.34,11.22,4222.70325,397.69,221.2
120,Turkey,0.01,0.04,18.78,20.17,11.64,359.19,4.68,163.89,5.58,8.91,8.2,7.53,193.94,276.25,169.96,32.41,10.74,13.74,1.71,0.77,7.97,14.11,12519.3914,552.2,344.81
121,Uganda,3.37,11.93,1.51,1.62,5.15,158.92,1.25,43.77,12.5,19.96,0.97,0.89,37.27,53.09,10.14,1.93,4.64,5.94,0.01,0,3.77,6.67,689.154814,236.2,68.52
122,Ukraine,20.56,72.77,24.23,26.03,8.96,276.49,0.41,14.36,15.23,24.32,18.01,16.54,145.03,206.58,105.15,20.05,3,3.84,0.02,0.01,2.68,4.74,4029.7155,413.97,251.76
123,United Arab Emirates,0,0,41.04,44.09,5.64,174.04,9.08,317.98,20.41,32.59,8.23,7.56,132.66,188.96,101.29,19.32,56.25,71.98,0.08,0.04,23.03,40.76,42412.6303,568.7,328.62
124,United Kingdom,25.79,91.28,31.55,33.89,18.12,559.15,4.49,157.24,15.49,24.73,11.08,10.18,232.2,330.75,98.63,18.81,6.39,8.18,0.05,0.02,4.18,7.4,43444.5648,866.29,375.34
125,Uruguay,16.84,59.61,27.45,29.49,29.1,897.96,8.23,288.21,6.53,10.43,13.14,12.07,210.54,299.89,109.31,20.85,11.5,14.72,0.01,0,0.95,1.68,16973.6742,1285.7,349.21
126,USA,27.64,97.83,50.01,53.72,36.24,1118.29,0.43,15.06,12.35,19.72,14.58,13.39,254.69,362.78,80.43,15.34,6.88,8.8,0.04,0.02,7.86,13.91,53106.9098,1304.62,414.24
127,Venezuela,7.23,25.59,39.28,42.19,25.89,798.91,0.32,11.21,8.34,13.32,5.63,5.17,117.79,167.78,49.17,9.38,23.39,29.93,0,0,0.35,0.62,12456.7125,891.22,212.88
128,Vietnam,35,123.88,12.36,13.28,7.44,229.58,0.14,4.9,26.52,42.34,3.84,3.53,16.36,23.3,10.49,2,144.56,184.99,5.75,2.59,6.28,11.12,1886.6719,413.98,227.53
129,Zambia,1.66,5.88,3.29,3.53,4.76,146.88,0.68,23.81,6.2,9.9,3.32,3.05,9.71,13.83,12.1,2.31,3.05,3.9,7.3,3.29,5.04,8.92,1878.90349,190,35.3
130,Zimbabwe,2.65,9.38,4.97,5.34,7.37,227.42,0.96,33.62,2.8,4.47,1.75,1.61,31.9,45.44,31.31,5.97,10.09,12.91,0.54,0.24,2.22,3.93,1430.00082,280.23,70.1
